zone_id,zone_num_wells,zone_center_latitude,zone_center_longitude,zone_area_km2,zone_average_gradient,zone_average_bht,Name,Api,Country,Status,Well Type,Latitude,Longitude,True Vertical Depth (ft),True Vertical Depth (km),Interpolated gradient,BHT,Suitable for 
21,6,32.400811513264976,-102.75919723510746,0.22651214296986535,23.724260669216164,71.43033002789068,"University ""15-B"" 1",4200300264,ANDREWS,Plugged & Abandoned,Unknown,32.39903259277344,-102.7617111206055,7065.0,2.153,23.72897883990665,71.08849144231903,Suitable for heat generation
21,6,32.400811513264976,-102.75919723510746,0.22651214296986535,23.724260669216164,71.43033002789068,"UNIVERSITY 15 ""B"" 3",4200332377,ANDREWS,Plugged & Abandoned,BLACK OIL,32.39914321899414,-102.7612533569336,7300.0,2.225,23.72812656790483,72.79508161358825,Suitable for heat generation
21,6,32.400811513264976,-102.75919723510746,0.22651214296986535,23.724260669216164,71.43033002789068,"UNIVERSITY ""10"" 4",4200300279,ANDREWS,Plugged & Abandoned,BLACK OIL,32.40316390991211,-102.7579727172852,7054.0,2.15,23.72191452153492,71.00211622130007,Suitable for heat generation
21,6,32.400811513264976,-102.75919723510746,0.22651214296986535,23.724260669216164,71.43033002789068,"UNIVERSITY 15 ""C"" 1504",4200300262,ANDREWS,Plugged & Abandoned,OIL WELL,32.40004348754883,-102.7575836181641,7065.0,2.153,23.72129375473013,71.07194545393398,Suitable for heat generation
21,6,32.400811513264976,-102.75919723510746,0.22651214296986535,23.724260669216164,71.43033002789068,University 15-2,4200300271,ANDREWS,Plugged & Abandoned,Unknown,32.40096282958984,-102.7537841796875,7045.0,2.147,23.71421986020868,70.91443003986802,Suitable for heat generation
22,7,32.22026443481445,-102.58634185791016,0.7044303896726704,23.651178859970514,89.6688538210403,UNIVERSITY -DJ- R/A -A- 7,4200337018,ANDREWS,Plugged & Abandoned,BLACK OIL,32.21963500976562,-102.5952453613281,9670.0,2.947,23.68494132312493,89.79952207924917,Suitable for heat generation
22,7,32.22026443481445,-102.58634185791016,0.7044303896726704,23.651178859970514,89.6688538210403,UNIVERSITY -DJ- R/A -A- 5,4200336732,ANDREWS,Plugged & Abandoned,BLACK OIL,32.22103500366211,-102.5900573730469,9417.0,2.87,23.66574100994343,87.92067669853765,Suitable for heat generation
22,7,32.22026443481445,-102.58634185791016,0.7044303896726704,23.651178859970514,89.6688538210403,UNIVERSITY -DJ- R/A -A- 6,4200336731,ANDREWS,Plugged & Abandoned,BLACK OIL,32.21756362915039,-102.5902862548828,9417.0,2.87,23.65677126338421,87.89493352591269,Suitable for heat generation
22,7,32.22026443481445,-102.58634185791016,0.7044303896726704,23.651178859970514,89.6688538210403,"UNIV ""GG"" 1",4200334456,ANDREWS,Plugged & Abandoned,Unknown,32.2259635925293,-102.5797653198242,9848.0,3.002,23.64987351185117,90.99692028257721,Suitable for heat generation
22,7,32.22026443481445,-102.58634185791016,0.7044303896726704,23.651178859970514,89.6688538210403,UNIVERSITY -DJ- R/A -A- 3,4200335086,ANDREWS,Plugged & Abandoned,BLACK OIL,32.21810531616211,-102.5854949951172,9300.0,2.835,23.636876243356,87.01054414991425,Suitable for heat generation
22,7,32.22026443481445,-102.58634185791016,0.7044303896726704,23.651178859970514,89.6688538210403,"University ""DJ"" R/A ""A"" 2",4200320251,ANDREWS,Plugged & Abandoned,BLACK OIL,32.22095489501953,-102.5830307006836,9300.0,2.835,23.63540538895175,87.0063742776782,Suitable for heat generation
22,7,32.22026443481445,-102.58634185791016,0.7044303896726704,23.651178859970514,89.6688538210403,UNIVERSITY -DJ- R/A -A- 4,4200335701,ANDREWS,Plugged & Abandoned,BLACK OIL,32.21859359741211,-102.5805130004883,10698.0,3.261,23.62864327918213,97.05300573341292,Suitable for heat generation
