Name,Api,Country,Status,Well Type,Latitude,Longitude,True Vertical Depth (ft),True Vertical Depth (km)
LYSSY UNIT 2H,4225531626,KARNES,Plugged & Abandoned,Dry Hole,28.878093719482425,-98.12496185302734,10933.849609375,3.333
WALTERS 1H,4225531301,KARNES,Plugged & Abandoned,BLACK OIL,29.16969108581543,-97.6949234008789,9243.8203125,2.818
THOMAS ET AL 1,4225531282,KARNES,Plugged & Abandoned,Dry Hole,29.130451202392575,-97.635009765625,11523.900390625,3.512
KAS UNIT SOUTH,4225531835,KARNES,Plugged & Abandoned,Dry Hole,28.95842742919922,-97.90608978271484,11537.0,3.516
GOLDEN B UNIT 12H,4225533455,KARNES,Plugged & Abandoned,BLACK OIL,29.06715202331543,-97.70101928710938,12190.900390625,3.716
RUDD UNIT 3H,4225532677,KARNES,Plugged & Abandoned,Dry Hole,29.06789779663086,-97.69026947021484,11800.7001953125,3.597
GEORGE UNIT 4 4,4225531389,KARNES,Plugged & Abandoned,BLACK OIL,29.15002822875977,-97.7651138305664,8936.6298828125,2.724
WERNLI GU 1 4,4225531505,KARNES,Plugged & Abandoned,WET GAS,28.73065757751465,-97.92062377929688,13080.0,3.987
MCCASKILL 1,4225531621,KARNES,Plugged & Abandoned,WET GAS,28.76238441467285,-97.65636444091795,9680.0,2.95
KASPRZYK-JENDRUSCH UNIT 2H,4225531670,KARNES,Plugged & Abandoned,Unknown,28.9659481048584,-98.03668975830078,10618.919921875,3.237
WILKE-PARAMOUNT 1H,4225531283,KARNES,Plugged & Abandoned,Unknown,29.192195892333984,-97.7394027709961,8124.10986328125,2.476
MCALISTER 3H,4225532173,KARNES,Plugged & Abandoned,Dry Hole,28.8249568939209,-97.9002456665039,12776.759765625,3.894
GISLER A 1,4225531566,KARNES,Plugged & Abandoned,WET GAS,28.829774856567383,-97.64694213867188,12706.7802734375,3.873
ESCONDIDO CREEK WILCOX 1,4225531581,KARNES,Plugged & Abandoned,Dry Hole,28.84214401245117,-97.73700714111328,9721.1201171875,2.963
KOWALIK 228-1 1,4225531586,KARNES,Plugged & Abandoned,VOLATILE OIL,28.78898429870605,-98.02327728271484,11806.0302734375,3.598
HOMEYER 2H,4225531247,KARNES,Plugged & Abandoned,WET GAS,28.77239990234375,-97.87044525146484,12934.1396484375,3.942
NIESCHWIETZ UNIT 3H,4225531711,KARNES,Plugged & Abandoned,BLACK OIL,28.93881225585937,-98.07576751708984,10575.73046875,3.223
ADELINE WEDDINGTON 1WD,4225501261,KARNES,Plugged & Abandoned,WATER DISPOSAL,28.843830108642575,-98.12370300292967,6786.0,2.068
RUCKMAN TRUST UNIT D 2,4225533427,KARNES,Plugged & Abandoned,Dry Hole,28.95419692993164,-97.8060531616211,12544.900390625,3.824
"NATHO, T & J 1",4225530844,KARNES,Plugged & Abandoned,Dry Hole,28.81647682189941,-97.69097137451172,10068.0,3.069
MADDUX PARAMOUNT 1H,4225531269,KARNES,Plugged & Abandoned,Unknown,29.15977668762207,-97.79409790039062,8481.5498046875,2.585
ESTELLE ROLF GAS UNIT NO 2 2,4225531036,KARNES,Plugged & Abandoned,DRY GAS,28.74466896057129,-97.91915130615234,13209.150390625,4.026
CHEATHAM 4,4217333285,GLASSCOCK,Plugged & Abandoned,BLACK OIL,32.03437042236328,-101.76219940185548,9964.0,3.037
"HOUSTON ""A"" 1",4217331280,GLASSCOCK,Plugged & Abandoned,CONDENSATE,32.046485900878906,-101.70853424072266,11176.0,3.406
